nit_enmascarado,num_oblig_orig_enmascarado,num_oblig_enmascarado,fecha_var_rpta_alt
417751,109691,978105,202401
64083,1033680,46662,202401
46441,633313,447029,202401
552,559118,521224,202401
356231,190000,898235,202401
40213,836170,244172,202401
343078,713036,367306,202401
313683,1066197,14145,202401
202496,564525,515817,202401
596135,186078,902072,202401
369382,50381,1054486,202401
414665,94755,993019,202401
195315,583124,497218,202401
415146,757010,323332,202401
242351,439259,641046,202401
277187,977764,102578,202401
21270,545924,534418,202401
275715,86519,1018746,202401
601682,165729,922390,202401
21823,508250,572092,202401
493783,343750,736927,202401
327648,214397,868362,202401
492903,114644,973178,202401
409709,890088,190254,202401
295574,1033665,46677,202401
494442,725631,354711,202401
260171,198339,889924,202401
598095,644292,436050,202401
16528,426103,653872,202401
425062,189946,898289,202401
426393,304445,778661,202401
418521,94729,993044,202401
317049,170758,917380,202401
291825,1021389,58953,202401
524341,470658,609684,202401
256665,91562,996201,202401
14967,642952,437390,202401
147575,199232,889034,202401
316829,252019,830989,202401
227980,734143,346199,202401
232258,1041833,38509,202401
222536,1013389,66953,202401
516601,583,877306,202401
309024,23715,1004905,202401
312757,23401,883523,202401
280799,421287,658703,202401
18561,311467,771676,202401
432969,911476,168866,202401
362994,556311,524031,202401
236357,325747,757388,202401
136252,731550,348792,202401
179684,1056576,23766,202401
25029,756211,324131,202401
253865,659319,421023,202401
71872,159131,928977,202401
38223,630023,450319,202401
429008,86315,1018945,202401
315447,784678,295664,202401
495364,943628,136714,202401
270689,403511,676409,202401
214793,569958,510384,202401
4587,259891,823090,202401
175882,606723,473619,202401
328055,350584,730184,202401
184995,510411,569931,202401
215248,1033656,46686,202401
248241,721334,359008,202401
54701,817445,262897,202401
50767,998558,81784,202401
108960,89549,1015765,202401
321543,1062609,17733,202401
199743,417459,662535,202401
507228,305207,777898,202401
75409,210137,872602,202401
465481,947853,132489,202401
322936,75660,1029405,202401
499456,867843,212499,202401
514316,191800,896441,202401
173202,111791,976017,202401
322829,72462,1032595,202401
162356,86456,1018809,202401
572280,665759,414583,202401
267430,442872,637433,202401
28602,33126,1071896,202401
265096,430439,649572,202401
544988,866948,213394,202401
4899,652758,427584,202401
299843,331678,748886,202401
367004,1001696,78646,202401
391382,194799,893456,202401
305170,595521,484821,202401
40093,1017909,62433,202401
374251,283446,799608,202401
363907,716166,364176,202401
152326,805514,274828,202401
273204,602824,477518,202401
127604,501490,578852,202401
547359,837721,242621,202401
452711,837429,242913,202401
607190,673875,406467,202401
613494,658551,421791,202401
516999,903342,177000,202401
456157,708684,371658,202401
188959,607291,473051,202401
499066,1033968,46374,202401
629424,340657,739990,202401
312121,691598,388744,202401
559462,699535,380807,202401
